name,Units,Price,Change,%Change,Contract,Time (EDT)
Gold (Comex),USD/t oz.,"2,347.20",+4.70,+0.20%,Jun 2024,4/26/2024
Gold (Tokyo),JPY/g,"11,898.00",+163.00,+1.39%,Apr 2025,5:00 PM
Gold Spot,USD/t oz.,"2,337.96",+5.50,+0.24%,N/A,4/26/2024
Gold/Euro Spot,EUR/t oz.,"2,186.16",+12.94,+0.60%,N/A,4/26/2024
Gold/British Pound Spot,GBP/t oz.,"1,871.42",+7.39,+0.40%,N/A,4/26/2024
Gold/Japanese Yen Spot,JPY/t oz.,"370,248.69","+7,134.84",+1.96%,N/A,4/26/2024
Gold/Indian Rupee Spot,INR/t oz.,"194,560.97",-264.12,-0.14%,N/A,4/26/2024
Silver (Comex),USD/t oz.,27.54,-0.10,-0.35%,Jul 2024,4/26/2024
Silver (Tokyo),JPY/gram,139.70,+5.20,+3.87%,Apr 2025,4/26/2024
Silver Spot,USD/t oz.,27.21,-0.23,-0.83%,N/A,4/26/2024
Silver/Euro Spot,EUR/t oz.,25.95,+0.44,+1.72%,N/A,4/26/2024
Silver/British Pound Spot,GBP/t oz.,21.78,-0.15,-0.68%,N/A,4/26/2024
Silver/Japanese Yen Spot,JPY/t oz.,"4,308.43",+37.53,+0.88%,N/A,4/26/2024
Silver/Indian Rupee Spot,INR/t oz.,"2,269.40",-16.00,-0.70%,N/A,4/26/2024
Platinum Spot,USD/t oz.,917.04,-1.80,-0.20%,N/A,4/26/2024
Palladium Spot,USD/t oz.,958.15,-29.04,-2.94%,N/A,4/26/2024
Copper (Comex),USd/lb.,457.40,+3.55,+0.78%,Jul 2024,4/26/2024
3Mo Copper (LME),USD/MT,"9,965.50",+100.50,+1.02%,N/A,4/26/2024
3Mo Aluminum (LME),USD/MT,"2,569.50",+6.00,+0.23%,N/A,4/26/2024
3Mo Zinc (LME),USD/MT,"2,844.00",-4.00,-0.14%,N/A,4/26/2024
3Mo Tin (LME),USD/MT,"32,411.00",-461.00,-1.40%,N/A,4/26/2024
